Value,Count,Clip_OutRaster_LC20_BPS_220_tif,Clip_OutRaster_LC22_EVT_230_tif,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
56,327134.000000000000000,419,7145,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,-9999,72,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
57,4016.000000000000000,421,9022,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
58,8262.000000000000000,441,7046,11400_10_19,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,146,-9999,-9999,146,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
59,42880.000000000000000,419,7046,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,-9999,72,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
60,134747.000000000000000,417,9018,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Rocky Mountain Cliff Canyon and Massive Bedrock,Sparsely Vegetated
61,556179.000000000000000,417,7055,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
62,603995.000000000000000,417,7050,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Rocky Mountain Lodgepole Pine Forest,Conifer
63,7860.000000000000000,425,7010,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,Northern Rocky Mountain Western Larch Savanna,Conifer
64,12079.000000000000000,421,7168,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Avalanche Chute Shrubland,Shrubland
65,206315.000000000000000,419,7056,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,-9999,72,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
66,122603.000000000000000,417,7056,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
67,89064.000000000000000,418,7045,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
68,110775.000000000000000,418,7047,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer
69,6384.000000000000000,421,7165,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer
70,417.000000000000000,418,7168,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Northern Rocky Mountain Avalanche Chute Shrubland,Shrubland
71,1404.000000000000000,417,7168,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Northern Rocky Mountain Avalanche Chute Shrubland,Shrubland
72,73332.000000000000000,421,7140,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland
73,102416.000000000000000,421,7145,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
74,2427.000000000000000,417,7010,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Northern Rocky Mountain Western Larch Savanna,Conifer
75,1250.000000000000000,446,7168,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Avalanche Chute Shrubland,Shrubland
76,86033.000000000000000,417,7169,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
77,19523.000000000000000,446,7169,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland
78,20118.000000000000000,446,9022,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
79,475259.000000000000000,446,7045,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
80,4200.000000000000000,418,7056,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
81,11.000000000000000,447,7168,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Northern Rocky Mountain Avalanche Chute Shrubland,Shrubland
82,559.000000000000000,446,7010,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,Northern Rocky Mountain Western Larch Savanna,Conifer
83,6906.000000000000000,447,7056,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
